REACHABLE quiz boards (full focus x discovered enumeration) = 1857
boards containing a dead end: 867/1857
  本林相 (木一木木木目) stuck=1/2 dupStuck=1 first@n=227 focus=本
  好林相 (女子木木木目) stuck=2/3 dupStuck=0 first@n=227 focus=女
  天林相 (一大木木木目) stuck=2/3 dupStuck=0 first@n=227 focus=大
  相校明 (木目木交日月) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相明校 (木目日月木交) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相星校 (木目日生木交) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相林校 (木目木木木交) stuck=1/2 dupStuck=1 first@n=227 focus=目
  明相校 (日月木目木交) stuck=1/2 dupStuck=0 first@n=227 focus=月
  星相校 (日生木目木交) stuck=1/2 dupStuck=0 first@n=227 focus=生
  李相校 (木子木目木交) stuck=3/4 dupStuck=0 first@n=227 focus=李
  本相校 (木一木目木交) stuck=3/4 dupStuck=0 first@n=227 focus=本
  好相校 (女子木目木交) stuck=3/4 dupStuck=0 first@n=227 focus=女
  天相校 (一大木目木交) stuck=3/4 dupStuck=0 first@n=227 focus=大
  問相校 (門口木目木交) stuck=1/2 dupStuck=0 first@n=227 focus=口
  間相校 (門日木目木交) stuck=1/2 dupStuck=0 first@n=227 focus=間
  請相校 (言靑木目木交) stuck=1/2 dupStuck=0 first@n=227 focus=言
  相李明 (木目木子日月) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相明李 (木目日月木子) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相星李 (木目日生木子) stuck=1/2 dupStuck=0 first@n=227 focus=目
  相林李 (木目木木木子) stuck=1/2 dupStuck=1 first@n=227 focus=目
  明相李 (日月木目木子) stuck=1/2 dupStuck=0 first@n=227 focus=月
  星相李 (日生木目木子) stuck=1/2 dupStuck=0 first@n=227 focus=生
  林相李 (木木木目木子) stuck=1/2 dupStuck=1 first@n=227 focus=林
  校相李 (木交木目木子) stuck=3/4 dupStuck=0 first@n=227 focus=交
  本相李 (木一木目木子) stuck=3/4 dupStuck=0 first@n=227 focus=本
  好相李 (女子木目木子) stuck=2/3 dupStuck=1 first@n=227 focus=女
  天相李 (一大木目木子) stuck=3/4 dupStuck=0 first@n=227 focus=大
  問相李 (門口木目木子) stuck=1/2 dupStuck=0 first@n=227 focus=口
  間相李 (門日木目木子) stuck=1/2 dupStuck=0 first@n=227 focus=間
